Date,Sales,Stock,Price,Month,Year,DayOfWeek,Is_Weekend,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7,Price_Diff
2014-01-01,0,4972,1.29,1,2014,2,0,0.0,0.0,0.0,0.0
2014-01-02,70,4902,1.29,1,2014,3,0,0.0,0.0,0.0,0.0
2014-01-03,59,4843,1.29,1,2014,4,0,70.0,0.0,0.0,0.0
2014-01-04,93,4750,1.29,1,2014,5,1,59.0,0.0,0.0,0.0
2014-01-05,96,4654,1.29,1,2014,6,1,93.0,0.0,0.0,0.0
2014-01-06,145,4509,1.29,1,2014,0,0,96.0,0.0,0.0,0.0
2014-01-07,179,4329,1.29,1,2014,1,0,145.0,0.0,91.71428571428571,0.0
2014-01-08,321,4104,1.29,1,2014,2,0,179.0,0.0,137.57142857142858,0.0
2014-01-09,125,4459,1.09,1,2014,3,0,321.0,70.0,145.42857142857142,-0.19999999999999996
2014-01-10,88,5043,1.09,1,2014,4,0,125.0,59.0,149.57142857142858,0.0
2014-01-11,188,5239,1.09,1,2014,5,1,88.0,93.0,163.14285714285714,0.0
2014-01-12,121,5118,1.09,1,2014,6,1,188.0,96.0,166.71428571428572,0.0
2014-01-13,134,4984,1.09,1,2014,0,0,121.0,145.0,165.14285714285714,0.0
2014-01-14,80,4904,1.09,1,2014,1,0,134.0,179.0,151.0,0.0
2014-01-15,82,4822,1.09,1,2014,2,0,80.0,321.0,116.85714285714286,0.0
2014-01-16,94,4728,1.19,1,2014,3,0,82.0,125.0,112.42857142857143,0.09999999999999987
2014-01-18,159,4464,1.19,1,2014,5,1,94.0,88.0,122.57142857142857,0.0
2014-01-19,199,4265,1.19,1,2014,6,1,159.0,188.0,124.14285714285714,0.0
2014-01-20,104,4161,1.19,1,2014,0,0,199.0,121.0,121.71428571428571,0.0
2014-01-21,70,4091,1.19,1,2014,1,0,104.0,134.0,112.57142857142857,0.0
2014-01-22,127,3964,1.09,1,2014,2,0,70.0,80.0,119.28571428571429,-0.09999999999999987
2014-01-23,96,3868,1.09,1,2014,3,0,127.0,82.0,121.28571428571429,0.0
2014-01-24,75,3793,1.09,1,2014,4,0,96.0,94.0,118.57142857142857,0.0
2014-01-25,198,3595,1.09,1,2014,5,1,75.0,159.0,124.14285714285714,0.0
2014-01-26,168,3427,1.09,1,2014,6,1,198.0,199.0,119.71428571428571,0.0
2014-01-27,125,3302,1.09,1,2014,0,0,168.0,104.0,122.71428571428571,0.0
2014-01-28,86,3216,1.09,1,2014,1,0,125.0,70.0,125.0,0.0
2014-01-29,222,2994,0.99,1,2014,2,0,86.0,127.0,138.57142857142858,-0.10000000000000009
2014-01-30,272,2723,0.99,1,2014,3,0,222.0,96.0,163.71428571428572,0.0
2014-01-31,209,2514,0.99,1,2014,4,0,272.0,75.0,182.85714285714286,0.0
2014-02-01,369,2145,0.99,2,2014,5,1,209.0,198.0,207.28571428571428,0.0
2014-02-02,217,1928,0.99,2,2014,6,1,369.0,168.0,214.28571428571428,0.0
2014-02-03,97,1831,0.99,2,2014,0,0,217.0,125.0,210.28571428571428,0.0
2014-02-04,117,1714,0.99,2,2014,1,0,97.0,86.0,214.71428571428572,0.0
2014-02-05,100,1998,1.29,2,2014,2,0,117.0,222.0,197.28571428571428,0.30000000000000004
